OID_,observer,obs_ID,Tile_ID,latitiude,longitude,correction,comments
79,PC,ref 2,154,-40.341525529999998,-9.912891960000000,orthorectified, 
80,PC,ref 2,153,-40.341278099999997,-9.913436270000000,orthorectified, 
81,PC,ref 2,139,-40.342468459999999,-9.910618469999999,orthorectified, 
82,PC,ref 2,123,-40.343249389999997,-9.911374810000000,orthorectified, 
83,PC,ref 2,123,-40.343496940000001,-9.911902019999999,orthorectified, 
84,PC,ref 2,122,-40.343513410000000,-9.912679799999999,orthorectified, 
85,PC,ref 2,122,-40.343452710000001,-9.912889000000000,orthorectified, 
86,PC,ref 2,109,-40.343911700000000,-9.912310339999999,orthorectified, 
87,PC,ref 2,110,-40.343881000000003,-9.911668810000000,orthorectified, 
88,PC,ref 2,110,-40.344086679999997,-9.911340740000000,orthorectified, 
89,PC,ref 2,96,-40.345172310000002,-9.913045090000001,orthorectified, 
90,PC,ref 2,82,-40.345696629999999,-9.912468820000001,orthorectified, 
91,PC,ref 2,83,-40.346034279999998,-9.911848270000000,orthorectified, 
92,PC,ref 2,57,-40.347780999999998,-9.909891719999999,orthorectified, 
93,PC,ref 2,95,-40.344694050000001,-9.914072700000000,orthorectified, 
94,PC,ref 2,79,-40.345510120000000,-9.915777960000000,orthorectified, 
95,PC,ref 2,79,-40.345665799999999,-9.915985680000000,orthorectified, 
96,PC,ref 2,78,-40.346071449999997,-9.917184110000001,orthorectified, 
97,PC,ref 2,78,-40.346217860000003,-9.917925289999999,orthorectified, 
98,PC,ref 2,93,-40.344871439999999,-9.916472290000000,orthorectified, 
99,PC,ref 2,107,-40.344287899999998,-9.914743440000001,orthorectified, 
100,PC,ref 2,107,-40.344050199999998,-9.915238040000000,orthorectified, 
101,PC,ref 2,106,-40.344059450000003,-9.916358420000000,orthorectified, 
102,PC,ref 2,106,-40.344010810000000,-9.916118510000000,orthorectified, 
103,PC,ref 2,134,-40.342477870000003,-9.916508920000000,orthorectified, 
104,PC,ref 2,132,-40.342540649999997,-9.918416100000000,orthorectified, 
105,PC,ref 2,117,-40.342854119999998,-9.918653680000000,orthorectified, 
106,PC,ref 2,150,-40.341725009999998,-9.917597949999999,orthorectified, 
107,PC,ref 2,149,-40.341244699999997,-9.918199050000000,orthorectified, 
108,PC,ref 2,166,-40.340849890000001,-9.918928870000000,orthorectified, 
109,PC,ref 2,165,-40.340601300000003,-9.920026840000000,orthorectified, 
110,PC,ref 2,164,-40.340119039999998,-9.920631450000000,orthorectified, 
111,PC,ref 2,163,-40.340162059999997,-9.922018560000000,orthorectified, 
112,PC,ref 2,162,-40.339962409999998,-9.923362870000000,orthorectified, 
113,PC,ref 2,56,-40.348098239999999,-9.910081959999999,orthorectified, 
114,PC,ref 2,153,-40.341020999999998,-9.914222720000000,orthorectified, 
115,PC,ref 2,152,-40.341015280000001,-9.915277320000000,orthorectified, 
116,PC,ref 2,42,-40.348376299999998,-9.910711109999999,orthorectified, 
117,PC,ref 2,56,-40.348082730000002,-9.910699690000000,orthorectified, 
118,PC,ref 2,131,-40.342002829999998,-9.919694580000000,orthorectified, 
119,PC,ref 2,222,-40.337605840000002,-9.917563080000001,orthorectified, 
